Артикул;pname;"prevprice";;;"curprice";;;cengroup;"ostatki";nds?;CURRENCY
0404;Сковорода VIOLETA  28х6,2см. алюминий, индукционное дно, антипригарное 3-х слойное покрытие ILAG DURIT, ручка с силиконовым покрытием;6636,00;руб.;шт;3982,00;руб.;шт;Акция -40%;50;N;RUB
0405;Кастрюля VIOLETA 24х11,5см./4,29л со стеклянной крышкой, алюминий, индукционное дно, антипригарное 3-х слойное покрытие ILAG DURIT, ручки с силиконовым покрытием;7639,00;руб.;шт;4584,00;руб.;шт;Акция -40%;50;N;RUB
0406;Глубокая сковорода VIOLETA 24х6,5см./2,35л со стеклянной крышкой, литой алюминий, индукционное дно, антипригарное 2-х слойное покрытие WHITFORD XYLAN, ручки с силиконовым покрытием;7098,00;руб.;шт;4259,00;руб.;шт;Акция -40%;50;N;RUB
0409;Кастрюля ARIANDE 24х11,5см./4,5л со стеклянной крышкой, литой алюминий,  внутри антипригарное 3-х слойное покрытие ILAG DURIT, снаружи черное покрытие PTFE;7046,00;руб.;шт;4933,00;руб.;шт;Акция -30%;50;N;RUB
0422;0422 WERNER Сковорода SMOOTH 22см Материал: Пресованный алюминий, индукционное дно, 3-х слойное антипригарное мраморное покрытие Pfluon, бакелит с покрытием Soft Touch;1809,00;руб.;шт;905,00;руб.;шт;Акция -50%;50;N;RUB
0423;0423 WERNER Сковорода SMOOTH 24см Материал: Пресованный алюминий, индукционное дно, 3-х слойное антипригарное мраморное покрытие Pfluon, бакелит с покрытием Soft Touch;1948,00;руб.;шт;990,00;руб.;шт;Распродажа;50;N;RUB
0424;0424 WERNER Сковорода SMOOTH 26см Материал: Пресованный алюминий, индукционное дно, 3-х слойное антипригарное мраморное покрытие Pfluon, бакелит с покрытием Soft Touch;2242,00;руб.;шт;990,00;руб.;шт;Распродажа;50;N;RUB
0425;0425 WERNER Ковш MALTA 18см /2,3л со стеклянной крышкой Материал: Пресованный алюминий, индукционное дно, 3-х слойное антипригарное мраморное покрытие Pfluon, бакелит с покрытием Soft Touch;2709,00;руб.;шт;1190,00;руб.;шт;Распродажа;50;N;RUB
0426;0426 WERNER Кастрюля MALTA 20см /3,1л со стеклянной крышкой Материал: Пресованный алюминий, индукционное дно, 3-х слойное антипригарное мраморное покрытие Pfluon, бакелит с покрытием Soft Touch;3368,00;руб.;шт;1684,00;руб.;шт;Акция -50%;50;N;RUB
0427;0427 WERNER Кастрюля  MALTA 24см /4,6л со стеклянной крышкой Материал: Пресованный алюминий, индукционное дно, 3-х слойное антипригарное мраморное покрытие Pfluon, бакелит с покрытием Soft Touch;4085,00;руб.;шт;2043,00;руб.;шт;Акция -50%;50;N;RUB
0428;Сковорода SONRIZO 24см Материал: Кованый алюминий, индукционное дно, 3-х слойное антипригарное мраморное покрытие Excilon, бакелит с покрытием Soft Touch;2917,00;руб.;шт;2042,00;руб.;шт;Акция -30%;50;N;RUB
0429;Сковорода SONRIZO 26см Материал: Кованый алюминий, индукционное дно, 3-х слойное антипригарное мраморное покрытие Excilon, бакелит с покрытием Soft Touch;3143,00;руб.;шт;2201,00;руб.;шт;Акция -30%;50;N;RUB
0431;Ковш SONRIZO 16см /1,3л со стеклянной крышкой с силиконовым ободком Материал: Кованый алюминий, индукционное дно, 3-х слойное антипригарное мраморное покрытие Excilon, бакелит с покрытием Soft Touch;3812,00;руб.;шт;2669,00;руб.;шт;Акция -30%;50;N;RUB
